特征ID,词汇
929,cellar
930,cells
931,cellular
932,center
933,centerline
934,centers
935,central
936,centre
937,centris
938,centuries
939,century
940,certain
941,certainly
942,cf
943,ch
944,chain
945,challenge
946,champions
947,chance
948,chances
949,change
950,changed
951,changes
952,changing
953,channel
954,channels
955,chapter
956,char
957,character
958,characters
959,charge
960,charges
961,charles
962,charter
963,cheap
964,cheaper
965,check
966,checked
967,checking
968,checks
969,cheers
970,chem
971,chemical
972,chemistry
973,chi
974,chicago
975,chief
976,child
977,children
978,chinese
979,chip
980,chips
981,choice
982,choices
983,choose
984,chose
985,chosen
986,chris
987,christ
988,christian
989,christianity
990,christians
991,christopher
992,chronic
993,chuck
994,church
995,churches
996,chz
997,ci
998,cica
999,cipher
1000,circle
1001,circuit
1002,circuits
1003,circumstances
1004,cis
1005,cit
1006,cities
1007,citizen
1008,citizens
1009,city
1010,civil
1011,civilian
1012,civilians
1013,ck
1014,cl
1015,claim
1016,claimed
1017,claiming
1018,claims
1019,claremont
1020,clark
1021,clarkson
1022,class
1023,classes
1024,classic
1025,classified
1026,clayton
1027,clean
1028,clear
1029,clearly
1030,cleveland
1031,clh
1032,client
1033,clients
1034,clinical
1035,clinton
1036,clipper
1037,clock
1038,clone
1039,close
1040,closed
1041,closely
1042,closer
1043,cloud
1044,club
1045,clue
1046,clutch
1047,cmos
1048,cmu
1049,cnn
1050,co
1051,coach
1052,coast
1053,cobb
1054,code
1055,codes
1056,coe
1057,col
1058,cold
1059,collection
1060,college
1061,color
1062,colorado
1063,colormap
1064,colors
1065,colostate
1066,colour
1067,columbia
1068,column
1069,com
1070,combination
1071,combined
1072,come
1073,comes
1074,comics
1075,coming
1076,comm
1077,command
1078,commands
1079,comment
1080,commentary
1081,comments
1082,commercial
1083,commit
1084,commitment
1085,committed
1086,committee
1087,common
1088,commonly
1089,communication
1090,communications
1091,communities
1092,community
1093,comp
1094,companies
1095,company
1096,compaq
1097,comparable
1098,compare
1099,compared
1100,comparison
1101,compatible
1102,competition
1103,compile
1104,compiled
1105,compiler
1106,complaints
1107,complete
1108,completely
1109,complex
1110,complicated
1111,component
1112,components
1113,compound
1114,comprehensive
1115,compressed
1116,compression
1117,compromise
1118,compuserve
1119,computer
1120,computers
1121,computing
1122,concept
1123,concern
1124,concerned
1125,concerning
1126,concerns
1127,concert
1128,conclusion
1129,conclusions
1130,concordia
1131,condition
1132,conditions
1133,conduct
1134,conducted
1135,conference
1136,config
1137,configuration
1138,confirmed
1139,conflict
1140,confused
1141,confusion
1142,congress
1143,connect
1144,connected
1145,connection
1146,connections
1147,connector
1148,consent
1149,consequences
1150,conservative
1151,consider
1152,consideration
1153,considered
1154,considering
1155,consistent
1156,consists
1157,conspiracy
1158,constant
1159,constantly
1160,constellation
1161,constitution
1162,constitutional
1163,construction
1164,consumer
1165,consumers
1166,contact
1167,contain
1168,contained
1169,containing
1170,contains
1171,content
1172,contents
1173,contest
1174,context
1175,continue
1176,continued
1177,continues
1178,continuing
1179,contract
1180,contrary
1181,contrast
1182,contrib
1183,control
1184,controlled
1185,controller
1186,controls
1187,convention
1188,conventional
1189,conversation
1190,conversations
1191,conversion
1192,convert
1193,converted
1194,converter
1195,converting
1196,convex
1197,convince
1198,convinced
1199,cook
1200,cooking
1201,cool
1202,cooperation
1203,copies
1204,cops
1205,copy
1206,copyright
1207,core
1208,cornell
1209,corner
1210,corp
1211,corporation
1212,correct
1213,correction
1214,correctly
1215,cos
1216,cost
1217,costs
1218,could
1219,couldn
1220,council
1221,count
1222,counter
1223,countries
1224,country
1225,county
1226,couple
1227,course
1228,court
1229,courts
1230,covenant
1231,cover
1232,coverage
1233,covered
1234,covers
1235,covington
1236,cpr
1237,cpu
1238,crabapple
1239,crack
1240,craft
1241,craig
1242,cramer
1243,crap
1244,crash
1245,cray
1246,crazy
1247,crd
1248,create
1249,created
1250,creating
1251,creation
1252,credit
1253,crew
1254,crime
1255,crimes
1256,criminal
1257,criminals
1258,criteria
1259,critical
1260,cronkite
1261,cross
1262,crowd
1263,crypt
1264,crypto
1265,cryptography
1266,cs
1267,csc
1268,csd
1269,csn
1270,cso
1271,csus
1272,ctr
1273,ctron
1274,cts
1275,cubs
1276,cult
1277,cultural
1278,culture
1279,cunixb
1280,cup
1281,curious
1282,current
1283,currently
1284,cursor
1285,custom
1286,cut
1287,cutting
1288,cv
1289,cwru
1290,cx
1291,cycle
1292,d012s658
1293,d9
1294,daily
1295,dal
1296,dale
1297,dallas
1298,damage
1299,damn
1300,dan
1301,danger
1302,dangerous
1303,daniel
1304,dare
1305,dark
1306,darwin
1307,das
1308,data
1309,database
1310,databases
1311,date
1312,daughter
1313,dave
1314,david
1315,davidian
1316,davidians
1317,davis
1318,day
1319,days
1320,db
1321,dbd
1322,dc
1323,dcs
1324,de
1325,dead
1326,deal
1327,dealer
1328,dealers
1329,dealing
1330,deals
1331,dean
1332,dear
1333,death
1334,deaths
1335,debate
1336,dec
1337,december
1338,decent
1339,decide
1340,decided
1341,decision
1342,decisions
1343,decwrl
1344,dee
1345,deep
1346,default
1347,defend
1348,defending
1349,defense
1350,defensive
1351,define
1352,defined
1353,definitely
1354,definition
1355,definitions
1356,degree
1357,degrees
1358,deleted
1359,delivery
1360,delta
1361,demand
1362,demands
1363,demo
1364,democracy
1365,democratic
1366,demon
1367,demonstrated
1368,den
1369,denied
1370,dennis
1371,density
1372,deny
1373,department
1374,depend
1375,depending
1376,depends
1377,dept
1378,depth
1379,derived
1380,des
1381,describe
1382,described
1383,describes
1384,describing
1385,description
1386,deserve
1387,design
1388,designed
1389,desire
1390,desired
1391,desktop
1392,despite
1393,destroy
1394,destroyed
1395,destroyer
1396,destruction
1397,desy
1398,det
1399,detail
1400,detailed
1401,details
1402,detect
1403,detector
1404,detectors
1405,determine
1406,determined
1407,detroit
1408,dev
1409,develop
1410,developed
1411,developing
1412,development
1413,device
1414,devices
1415,devil
1416,devils
1417,dfn
1418,dg
1419,di
1420,dial
1421,diamond
1422,dick
1423,dictionary
1424,did
1425,didn
1426,die
1427,died
1428,diego
1429,diet
1430,difference
1431,differences
1432,different
1433,differently
1434,difficult
1435,digex
1436,digital
1437,dir
1438,direct
1439,directed
1440,direction
1441,directly
1442,director
1443,directories
1444,directory
1445,disagree
1446,disciples
1447,disclaimer
1448,discovered
1449,discrimination
1450,discuss
1451,discussed
1452,discussing
1453,discussion
1454,discussions
1455,disease
1456,diseases
1457,disk
1458,disks
1459,display
1460,displayed
1461,displays
1462,distance
1463,distinction
1464,distributed
1465,distribution
1466,div
1467,divine
1468,division
1469,dk
1470,dl
1471,dma
1472,do
1473,doc
1474,doctor
1475,doctors
1476,doctrine
1477,document
1478,documentation
1479,documents
1480,dod
1481,does
1482,doesn
1483,dog
1484,dogs
1485,doing
1486,dollar
1487,dollars
1488,domain
1489,don
1490,done
1491,dont
1492,door
1493,doors
1494,dos
1495,dot
1496,double
1497,doubt
1498,doug
1499,douglas
1500,down
1501,dr
1502,draft
1503,drag
1504,draw
1505,drawing
1506,drawn
1507,dream
1508,dreams
1509,drink
1510,drive
1511,driven
1512,driver
1513,drivers
1514,drives
1515,driving
1516,drop
1517,dropped
1518,drove
1519,drug
1520,drugs
1521,dry
1522,dscomsa
1523,dseg
1524,dsinc
1525,dt
1526,du
1527,dual
1528,due
1529,duke
1530,duo
1531,during
1532,dust
1533,duty
1534,dwyer
1535,dyer
1536,dying
1537,dynamic
1538,each
1539,earlier
1540,early
1541,earth
1542,easier
1543,easily
1544,east
1545,easter
1546,eastern
1547,easy
1548,eat
1549,eating
1550,ebay
1551,ece
1552,echo
1553,ecn
1554,econ
1555,economic
1556,economy
1557,ed
1558,eddie
1559,edge
1560,edit
1561,edition
1562,editor
1563,edm
1564,edmonton
1565,edu
1566,education
1567,educational
1568,edward
1569,ee
1570,eff
1571,effect
1572,effective
1573,effectively
1574,effects
1575,efficient
1576,effort
1577,efforts
1578,eg
1579,egypt
1580,eh
1581,ei
1582,eight
1583,einstein
1584,eisa
1585,eitech
1586,either
1587,el
1588,election
1589,electric
1590,electrical
1591,electronic
1592,electronics
1593,element
1594,elements
1595,elohim
1596,elroy
1597,else
1598,elsewhere
1599,em
1600,email
1601,emergency
1602,emory
1603,emotional
1604,emphasis
1605,empire
1606,employees
1607,employer
1608,empty
1609,en
1610,encourage
1611,encrypted
1612,encryption
1613,end
1614,ended
1615,ends
1616,enemies
1617,enemy
1618,energy
1619,enet
1620,enforcement
1621,eng
1622,engine
1623,engineer
1624,engineering
1625,engines
1626,england
1627,english
1628,engr
1629,enhanced
1630,enjoy
1631,enough
1632,ensure
1633,enter
1634,entered
1635,enterpoop
1636,entire
1637,entirely
1638,entitled
1639,entries
1640,entry
1641,environment
1642,environmental
1643,equal
1644,equally
1645,equipment
1646,equivalent
1647,er
1648,era
1649,eric
1650,ericsson
1651,error
1652,errors
1653,es
1654,escape
1655,escrow
1656,especially
1657,espn
1658,essential
1659,essentially
1660,establish
1661,established
1662,et
1663,etc
1664,eternal
1665,ethernet
1666,ethnic
1667,eu
1668,europa
1669,europe
1670,european
1671,even
1672,evening
1673,event
1674,events
1675,eventually
1676,ever
1677,every
1678,everybody
1679,everyone
1680,everything
1681,everywhere
1682,evidence
1683,evil
1684,evolution
1685,ex
1686,exact
1687,exactly
1688,examine
1689,example
1690,examples
1691,excellent
1692,except
1693,exception
1694,exchange
1695,excuse
1696,exe
1697,executive
1698,exercise
1699,exist
1700,existed
1701,existence
1702,existing
1703,exists
1704,exit
1705,exodus
1706,expansion
1707,expect
1708,expected
1709,expensive
1710,experience
1711,experienced
1712,experiences
1713,experiment
1714,experimental
1715,expert
1716,experts
1717,explain
1718,explained
1719,explanation
1720,explicitly
1721,exploration
1722,expo
1723,export
1724,expose
1725,exposed
1726,exposure
1727,express
1728,expressed
1729,expression
1730,extended
1731,extension
1732,extensions
1733,extensive
1734,extent
1735,extermination
1736,external
1737,extra
1738,extreme
1739,extremely
1740,eye
1741,eyes
1742,face
1743,facilities
1744,facility
1745,fact
1746,factor
1747,factors
1748,factory
1749,facts
1750,fail
1751,failed
1752,fails
1753,failure
1754,fair
1755,fairly
1756,faith
1757,fall
1758,falls
1759,false
1760,familiar
1761,families
1762,family
1763,famous
1764,fan
1765,fans
1766,faq
1767,far
1768,farm
1769,fast
1770,faster
1771,fat
1772,father
1773,fathers
1774,fault
1775,favor
1776,favorite
1777,fax
1778,fbi
1779,fc
1780,fear
1781,feature
1782,features
1783,feb
1784,february
1785,federal
1786,feds
1787,fee
1788,feed
1789,feel
1790,feeling
1791,feelings
1792,feels
1793,feet
1794,fell
1795,fellow
1796,felt
1797,female
1798,few
1799,fewer
1800,fi
1801,fiction
1802,fido
1803,fidonet
1804,field
1805,fields
1806,fifth
1807,fight
1808,fighting
1809,figure
1810,figured
1811,figures
1812,fij
1813,file
1814,filename
1815,files
1816,fill
1817,filled
1818,film
1819,filter
1820,final
1821,finally
1822,find
1823,finding
1824,fine
1825,finger
1826,finish
1827,finished
1828,finland
1829,fire
1830,firearm
1831,firearms
1832,fired
1833,firm
1834,first
1835,fish
1836,fit
1837,fits
1838,five
1839,fix
1840,fixed
1841,flame
1842,flames
1843,flash
1844,flat
1845,flight
1846,floor
1847,floppy
1848,florida
1849,flow
1850,fly
1851,flyers
1852,flying
1853,fm
1854,fnal
1855,focus
1856,folks
1857,follow
1858,followed
1859,followers
1860,following
1861,follows
1862,font
1863,fonts
1864,food
1865,fool
1866,foot
1867,football
1868,for
1869,force
1870,forced
1871,forces
1872,ford
1873,foreign
1874,forever
1875,forget
1876,forgot
1877,forgotten
1878,form
1879,format
1880,formats
1881,formed
1882,former
1883,forms
1884,forsale
1885,forth
1886,forum
1887,forward
1888,found
1889,foundation
1890,four
1891,fourth
1892,fpu
1893,fr
1894,frame
1895,frames
1896,france
1897,francis
1898,francisco
1899,frank
1900,fred
1901,free
1902,freedom
1903,freely
1904,freenet
1905,french
1906,frequency
1907,frequently
1908,friday
1909,friend
1910,friendly
1911,friends
1912,from
1913,front
1914,fs7
1915,fsu
1916,ft
1917,ftp
1918,fu
1919,fuel
1920,full
1921,fully
1922,fun
1923,function
1924,functionality
1925,functions
1926,fund
1927,fundamental
1928,funding
1929,funds
1930,funet
1931,funny
1932,further
1933,furthermore
1934,future
1935,fyn
1936,g9v
1937,ga
1938,gain
1939,galaxy
1940,galileo
1941,gallant
1942,game
1943,games
1944,gamma
1945,gant
1946,gap
1947,garbage
1948,gary
1949,gas
1950,gatech
1951,gates
1952,gateway
1953,gave
1954,gay
1955,gaza
1956,ge
1957,gear
1958,geb
1959,gee
1960,gen
1961,gene
1962,general
1963,generally
1964,generate
1965,generated
1966,generation
1967,genesis
1968,geneva
1969,genocide
1970,geometry
1971,george
1972,georgia
1973,gerald
1974,geraldo
1975,gerard
1976,german
1977,germans
1978,germany
1979,gerry
1980,get
1981,gets
1982,getting
1983,ghost
1984,giants
1985,gif
1986,gifs
1987,gift
1988,girl
1989,girls
1990,give
1991,given
1992,gives
1993,giving
1994,giz
1995,gk
1996,gl
1997,glad
1998,gld
1999,global
2000,glory
2001,gm
2002,gmt
2003,gnu
2004,go
2005,goal
2006,goals
2007,god
2008,gods
2009,goes
2010,going
2011,gold
2012,golden
2013,gone
2014,gonna
2015,good
2016,gopher
2017,gordon
2018,gospel
2019,got
2020,gotten
2021,gov
2022,government
2023,governments
2024,govt
2025,gr
2026,grace
2027,grade
2028,graduate
2029,graham
2030,grand
2031,grant
2032,granted
2033,graphic
2034,graphics
2035,gravity
2036,gray
2037,great
2038,greater
2039,greatest
2040,greatly
2041,greece
2042,greek
2043,greeks
2044,green
2045,greg
2046,gregory
2047,grenades
2048,grey
2049,ground
2050,grounds
2051,group
2052,groups
2053,growing
2054,growth
2055,gsfc
2056,gt
2057,gtefsd
2058,gtoal
2059,guarantee
2060,guaranteed
2061,guard
2062,guess
2063,guide
2064,guidelines
2065,guilty
2066,gumby
2067,gun
2068,guns
2069,guy
2070,guys
2071,gw
2072,gwu
2073,ha
2074,hacker
2075,had
2076,hadn
2077,hair
2078,hal
2079,halat
2080,half
2081,hall
2082,hallam
2083,ham
2084,hamburg
2085,hamilton
2086,hand
2087,handed
2088,handgun
2089,handguns
2090,handle
2091,handling
2092,hands
2093,hang
2094,hanging
2095,happen
2096,happened
2097,happening
2098,happens
2099,happy
2100,har
2101,hard
2102,harder
2103,hardly
2104,hardware
2105,harley
2106,harm
2107,harris
2108,harry
2109,hartford
2110,harvard
2111,has
2112,hasn
2113,hate
2114,hatred
2115,have
2116,haven
2117,having
2118,hawaii
2119,hawks
2120,hcf
2121,hd
2122,he
2123,head
2124,header
2125,headlines
2126,heads
2127,headwall
2128,health
2129,healthy
2130,hear
2131,heard
2132,hearing
2133,heart
2134,heat
2135,heaven
2136,heavily
2137,heavy
2138,hebrew
2139,heck
2140,height
2141,held
2142,hell
2143,hello
2144,helmet
2145,help
2146,helped
2147,helpful
2148,helps
2149,hence
2150,henrik
2151,henry
2152,her
2153,here
2154,herzgvna
2155,hey
2156,hi
2157,hicnet
2158,hidden
2159,hide
2160,higgins
2161,high
2162,higher
2163,highest
2164,highly
2165,highway
2166,hill
2167,him
2168,himself
2169,hint
2170,hints
2171,his
2172,historical
2173,history
2174,hit
2175,hitler
2176,hits
2177,hitter
2178,hitting
2179,hm
2180,hmm
2181,hmmm
2182,ho
2183,hobbes
2184,hockey
2185,hold
2186,holding
2187,holds
2188,hole
2189,holes
2190,holland
2191,holocaust
2192,holy
2193,home
2194,homeland
2195,homes
2196,homicide
2197,homosexual
2198,homosexuality
2199,homosexuals
2200,honda
2201,honest
2202,honor
2203,hook
2204,hope
2205,hopefully
2206,hoping
2207,horus
2208,hospital
2209,hospitals
2210,host
2211,hot
2212,hotel
2213,hour
2214,hours
2215,house
2216,houses
2217,houston
2218,how
2219,howard
2220,however
2221,howland
2222,hp
2223,hpscit
2224,hr
2225,hsdndev
2226,hst
2227,hudson
2228,huge
2229,huh
2230,hulk
2231,human
2232,humanity
2233,humans
2234,hundred
2235,hundreds
2236,hunter
2237,hurt
2238,husband
2239,husc
2240,hut
2241,hz
2242,i4
2243,iastate
2244,ibm
2245,ibmpcug
2246,ic
2247,ice
2248,icon
2249,ics
2250,id
2251,ide
2252,idea
2253,ideas
2254,identical
2255,identified
2256,identify
2257,identity
2258,idle
2259,ie
2260,ieee
2261,if
2262,ifi
2263,igc
2264,ignorance
2265,ignorant
2266,ignore
2267,ignored
2268,igor
2269,ii
2270,iii
2271,iisi
2272,il
2273,ill
2274,illegal
2275,illinois
2276,image
2277,images
2278,imagine
2279,imaging
2280,imake
2281,imho
2282,immediate
2283,immediately
2284,immoral
2285,impact
2286,implement
2287,implementation
2288,implemented
2289,implies
2290,imply
2291,importance
2292,important
2293,impossible
2294,impression
2295,improve
2296,improved
2297,improvement
2298,in
2299,inc
2300,inch
2301,incident
2302,include
2303,included
2304,includes
2305,including
2306,income
2307,incoming
2308,incorrect
2309,increase
2310,increased
2311,increases
2312,increasing
2313,indeed
2314,independence
2315,independent
2316,index
2317,indian
2318,indiana
2319,indicate
2320,indicates
2321,individual
2322,individuals
2323,industry
2324,infection
2325,infinite
2326,influence
2327,info
2328,informatik
2329,information
2330,informed
2331,ingr
2332,inhabitants
2333,initial
2334,initially
2335,injuries
2336,injury
2337,innocent
2338,input
2339,ins
2340,insert
2341,inside
2342,install
2343,installation
2344,installed
2345,installing
2346,instance
2347,instead
2348,institute
2349,instructions
2350,instrument
2351,instruments
2352,insurance
2353,int
2354,integrated
2355,intel
2356,intellectual
2357,intelligence
2358,intelligent
2359,intend
2360,intended
2361,intent
2362,interactive
2363,intercon
2364,interest
2365,interested
2366,interesting
2367,interests
2368,interface
2369,interference
2370,interior
2371,internal
2372,international
2373,internet
2374,interpret
2375,interpretation
2376,interview
2377,into
2378,intrinsics
2379,introduced
2380,introduction
2381,invest
2382,investigation
2383,investors
2384,involve
2385,involved
2386,involves
2387,involving
2388,io
2389,ip
2390,ira
2391,iran
2392,iranian
2393,iraq
2394,iron
2395,irq
2396,irrational
2397,irrelevant
2398,irvine
2399,is
2400,isa
2401,isbn
2402,isc
2403,islam
2404,islamic
2405,island
2406,islanders
2407,isn
2408,israel
2409,israeli
2410,israelis
2411,issue
2412,issued
2413,issues
2414,istanbul
2415,it
2416,italy
2417,itd
2418,item
2419,items
2420,its
2421,itself
2422,iv
2423,jack
2424,jackson
